ENA_SAMPLE_ACCESSION;ENA_ALIAS;ENA_RUN_ACCESSION;REPLICA;COLLECTION_DATE;COMPLETE_NAME;COUNTRY;CITY;LATITUDE;LONGITUDE;PLANT;SAMPLING TYPE;SEWAGE TYPE;;;;;;;;;;;;;
ERS17759481;1007182;ERR12510669;2;2019-11-17;DTU_2020_1007182_2_MG_RD_CPH_Sewage_604;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759480;1007263;ERR12510773;1;2020-07-29;DTU_2020_1007263_1_MG_RD_CPH_Sewage_724;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759479;1007285;ERR12510803;1;2020-05-20;DTU_2020_1007285_1_MG_RD_CPH_Sewage_1_679;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759478;1007208;ERR12510703;1;2020-02-11;DTU_2020_1007208_1_MG_RD_CPH_Sewage_633;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759477;1007229;ERR12510731;1;2020-04-27;DTU_2020_1007229_1_MG_RD_CPH_Sewage_656;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759476;1007212;ERR12510707;1;2020-02-26;DTU_2020_1007212_1_MG_RD_CPH_Sewage_637;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759475;1007238;ERR12510746;2;2020-05-28;DTU_2020_1007238_2_MG_RD_CPH_Sewage_685;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759475;1007238;ERR12510745;1;2020-05-28;DTU_2020_1007238_1_MG_RD_CPH_Sewage_685;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759474;1007232;ERR12510736;1;2020-05-05;DTU_2020_1007232_1_MG_RD_CPH_Sewage_664;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759474;1007232;ERR12510737;2;2020-05-05;DTU_2020_1007232_2_MG_RD_CPH_Sewage_664;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759473;1007260;ERR12510770;1;2020-07-23;DTU_2020_1007260_1_MG_RD_CPH_Sewage_721;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759472;1007266;ERR12510776;1;2020-08-04;DTU_2020_1007266_1_MG_RD_CPH_Sewage_727;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759471;1007286;ERR12510804;1;2020-05-20;DTU_2020_1007286_1_MG_RD_CPH_Sewage_2_679;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759457;1007283;ERR12510801;1;2020-05-20;DTU_2020_1007283_1_MG_RA_CPH_Sewage_1_678;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759456;1007207;ERR12510702;1;2020-02-11;DTU_2020_1007207_1_MG_RA_CPH_Sewage_632;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759455;1007277;ERR12510793;1;2019-09-28;DTU_2020_1007277_1_MG_RA_CPH_Sewage_1_587;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759454;1007262;ERR12510772;1;2020-07-29;DTU_2020_1007262_1_MG_RA_CPH_Sewage_723;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759453;1007237;ERR12510744;2;2020-05-28;DTU_2020_1007237_2_MG_RA_CPH_Sewage_684;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759453;1007237;ERR12510743;1;2020-05-28;DTU_2020_1007237_1_MG_RA_CPH_Sewage_684;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759452;1007243;ERR12510753;1;2020-06-10;DTU_2020_1007243_1_MG_RA_CPH_Sewage_696;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759451;1007221;ERR12510722;2;2020-03-20;DTU_2020_1007221_2_MG_RA_CPH_Sewage_648;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759451;1007221;ERR12510721;1;2020-03-20;DTU_2020_1007221_1_MG_RA_CPH_Sewage_648;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759450;1007187;ERR12510679;2;2019-12-02;DTU_2020_1007187_2_MG_RA_CPH_Sewage_609;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759450;1007187;ERR12510678;1;2019-12-02;DTU_2020_1007187_1_MG_RA_CPH_Sewage_609;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759449;1007153;ERR12510641;1;2019-02-18;DTU_2020_1007153_1_MG_RA_CPH_Sewage_504;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
